text,account_age_days,text_length_words,has_exclamation,has_question,has_emoji,mentions_flag,hashtags_count,urls_count,retweets,favorites,is_verified,followers_count,friends_count,favorites_statuses_ratio,tweet_event,tweet_type,classification,diffusion_speed,sentiment,users_pos_count,users_neg_count,users_neu_count
BREAKING: Paris police say shots fired at satirical newspaper Charlie Hebdo; witness says multiple gunmen involved.,2852,16,0,0,0,0,0,0,114,43,1,4730247,381,4.7327072136975066e-05,0,source-tweets,1,758508.0,1,6,3,11
BREAKING: 10 reported dead in Charlie Hebdo HQ shooting - local media http://t.co/Q27XnP3AS3,1975,13,0,0,0,0,0,1,118,22,1,842441,460,0.0002475742484693246,0,source-tweets,1,28824.0,1,1,3,8
"Armed with kalachnikovs &amp; rocketlauncher, 2 men open fire at French satirical mag Charlie Hebdo that published Prophet Mohamed cartoons @AFP",1686,21,0,0,0,1,0,0,180,21,1,85236,565,0.005716027741787973,0,source-tweets,1,10045.0,1,2,5,6
"Paris police: 10 dead, 5 injured at #CharlieHebdo shooting",2255,9,0,0,0,0,1,0,116,12,1,6975,1174,0.05682694780149138,0,source-tweets,1,1224.0,0,0,0,1
BREAKING: 'Ten shot dead' as gunmen storm HQ of satirical magazine Charlie Hebdo in Paris http://t.co/yGyND65MR8 https://t.co/BFVHx422JS,2072,17,0,0,0,0,0,1,133,6,1,159617,891,0.00012437656248056616,0,source-tweets,1,39291.0,1,1,5,1
"Now we are confirming 10 dead in #Paris #CharlieHebdo shooting, via prosecutors office @AFP",1639,14,0,0,0,1,2,0,196,7,0,2064,829,1.1326503808773312,0,source-tweets,1,1143.0,0,0,0,1
"Breaking: Armed men attack offices of French satirical magazine Charlie Hebdo, killing at least 10, police say http://t.co/tYCeEMKwOo",2838,18,0,0,0,0,0,1,279,33,1,5577526,974,0.010201542672306545,0,source-tweets,1,253.0,0,0,1,1
"Ten people killed in attack at offices of satirical French magazine Charlie Hebdo, Paris prosecutors say http://t.co/czyz6voZTw",2816,17,0,0,0,0,0,1,1276,214,1,12907826,3,0.0,0,source-tweets,1,13800.0,1,17,11,32
"Appalled by the attack on Charlie Hebdo in Paris, 10 - probably journalists - now confirmed dead. An attack on free speech everywhere.",2155,23,0,0,0,0,0,0,166,64,0,19332,899,0.005510501143688917,0,source-tweets,1,13509.0,1,4,6,17
Update - Telegraph reporter Henry Samuels tells Sky News 10 people have been killed in shooting at Charlie Hebdo headquarters in #Paris,1890,22,0,0,0,0,1,0,105,11,1,1377482,6,0.0,0,source-tweets,1,2237.0,0,0,2,1
Just confirmed. 10 people dead at shooting in the centre of #Paris. Many believed to be journos working for #CharlieHebdo,1336,20,0,0,0,0,2,0,121,11,1,2866,1837,0.001923816852635629,0,source-tweets,1,1493.0,2,2,1,3
French official says attack on Paris weekly #CharlieHebdo was with Kalachnikov automatic rifles and rocket launcher. Unprecedented. #AFP,2773,18,0,0,0,0,2,0,426,44,0,2818,2113,0.032186867757954755,0,source-tweets,1,19918.0,2,9,3,20
Ten dead in shooting at Paris offices of satirical magazine Charlie Hebdo – live updates http://t.co/JXujfbiZGu,1888,16,0,0,0,0,0,1,266,28,1,3090705,1083,0.0012156008340891877,0,source-tweets,1,1177.0,1,1,1,6
10 dead as shots fired at French satirical weekly #CharlieHebdo. #AFP http://t.co/KqSnXV4Kqf,820,12,0,0,0,0,2,0,119,10,0,36125,241,0.015338085979693238,0,source-tweets,1,0.0,1,0,0,0
"Unconfirmed reports that #CharlieHebdo attackers shouted ""The Prophet is avenged"" and used a rocket launcher. This is next level ****.",1417,20,0,0,0,0,1,0,226,57,0,35357,1524,0.2787036184513397,0,source-tweets,1,19785.0,1,2,1,10
Scene at Paris HQ of satirical magazine Charlie Hebdo - police confirm gunmen kill at least 10 http://t.co/t3gks9dapq http://t.co/bnD65c9hwF,2816,19,0,0,0,0,0,1,1387,260,1,12906212,3,0.0,0,source-tweets,1,30879.0,0,2,5,12
11 dead as shots fired at French satirical weekly #CharlieHebdo. Photo: Philippe Dupeyrat  #AFP http://t.co/q38epI1b8b,820,15,0,0,0,0,2,0,496,42,0,36132,241,0.015338085979693238,0,source-tweets,1,7421.0,1,4,3,17
Update - 11 people dead at headquarters of French satirical weekly publication Charlie Hebdo after armed gunmen stormed the office in #Paris,1890,22,0,0,0,0,1,0,246,32,1,1376880,6,0.0,0,source-tweets,1,2163.0,1,2,4,13
"10 people confirmed dead in Paris attack - rocket launcher used in assault, according to reports http://t.co/7N7uvClhWY",2302,17,0,0,0,0,0,1,113,14,1,774181,264,0.0003858759383801229,0,source-tweets,1,2150.0,1,0,4,1
"Paris-based journalist says the attack on Charlie Hebdo's HQ involved men armed with ""rocket propelled grenades"" http://t.co/1PJH17mcLz",2728,17,0,0,0,0,0,1,152,35,1,1786456,17,1.635082326395134e-05,0,source-tweets,1,2979.0,1,1,0,4
"BREAKING UPDATE: 11 dead, 10 wounded in Charlie Hebdo HQ shooting - Paris police  http://t.co/Q27XnP3AS3",1975,15,0,0,0,0,0,1,165,23,1,842292,460,0.00024761197299124786,0,source-tweets,1,862.0,0,1,2,5
LIVE - 11 dead in shooting at HQ of satirical weekly @Charlie_Hebdo_ in Paris (police source)  https://t.co/4yt6nafpIg #CharlieHebdo,2847,18,0,0,0,1,1,1,105,17,1,1251106,377,0.0029154518950437317,0,source-tweets,1,1735.0,1,2,2,4
Witnesses say several masked men were involved in the shooting at #CharlieHebdo's Paris HQ. http://t.co/xcK8lY9IeR http://t.co/QPKtv7stET,2728,16,0,0,0,0,1,1,149,18,1,1787115,17,1.6347882949158084e-05,0,source-tweets,1,30108.0,1,0,2,5
"""Several men in black cagoules were heard to shout 'the Prophet has been avenged.'"" http://t.co/wu7XfGcZsM",1360,15,0,0,0,0,0,1,134,17,1,19452,791,0.09243291159642195,0,source-tweets,1,14659.0,1,5,0,10
"BREAKING: At least 10 killed in shooting at French satirical newspaper Charlie Hebdo, Paris prosecutor's office says. http://t.co/mnAeA7j7fY",2846,18,0,0,0,0,0,1,295,78,1,3029912,389,0.0027739620980755638,0,source-tweets,1,32060.0,0,3,8,11
Eleven dead in shooting at Paris offices of satirical magazine Charlie Hebdo – live updates http://t.co/gOtSqbwROc,1888,16,0,0,0,0,0,1,338,28,1,3091451,1083,0.0012148624401913876,0,source-tweets,1,8224.0,1,2,12,6
At least 11 dead and 5 injured after gunmen storm Charlie Hebdo office in Paris http://t.co/Ujw9LonL8N http://t.co/JnhZmKeW5M,2367,17,0,0,0,0,0,1,107,14,1,818631,2355,0.0036928268430309833,0,source-tweets,1,2707.0,0,0,1,5
"Police say 11 now dead in ""carnage"" at #CharlieHebdo HQ in Paris - follow our coverage: http://t.co/IClDjevRnB http://t.co/aQkN3PMfkt",2816,18,0,0,0,0,1,1,2042,287,1,12907286,3,0.0,0,source-tweets,1,46380.0,0,34,30,69
BREAKING Charlie Hebdo latest: 11 dead 10 wounded (five critical) two gunmen unaccounted for http://t.co/kjW3uwCV0f http://t.co/9K8ICs97Be,2264,16,0,0,0,0,0,1,203,32,1,973212,1763,0.0003142702885645906,0,source-tweets,1,5822.0,1,4,4,9
#CharlieHebdo -  11 dead including 2 police in Paris shooting. Photo @MartinBureau1 #AFP http://t.co/aksGP63MB7,820,14,0,0,0,1,2,0,114,17,0,36037,241,0.015135135135135135,0,source-tweets,1,9942.0,0,1,4,3
"At least 11 dead in shooting at HQ of #CharlieHebdo in #Paris (police source)
https://t.co/e4dBcNVbvD",2847,15,0,0,0,0,2,1,116,14,1,1253289,378,0.002933893755592085,0,source-tweets,1,2946.0,0,1,3,1
"11 dead in Paris shooting at French satirical newspaper Charlie Hebdo, police official says - @AP http://t.co/ZFJYh80uxy",2795,17,0,0,0,1,0,1,317,46,1,7194206,508,0.0002135143335543394,0,source-tweets,1,19294.0,1,1,5,10
"French media to be put under police protection according to Le Figaro, quoting source in police. #Charliehebdo",2287,17,0,0,0,0,1,0,116,22,0,1483,1065,0.0047188360204482895,0,source-tweets,1,4054.0,1,0,1,4
Charlie Hebdo gunmen reportedly heard shouting: 'Prophet has been avenged' http://t.co/6Q9j9NkVO5 http://t.co/HxMmpdlA38,2367,12,0,0,0,0,0,1,214,39,1,818296,2355,0.003693385337896999,0,source-tweets,1,8081.0,1,5,2,19
Horrendous story from Paris - 11 shot dead + many wounded at offices of satirical mag #CharlieHebdo that published cartoons of Muhammad.,1513,22,0,0,0,0,1,0,348,96,1,4328715,941,0.00037883353709985707,0,source-tweets,1,56741.0,2,49,30,92
"11 confirmed dead, Francois Hollande to visit scene of attack - latest from Paris: http://t.co/7N7uvClhWY http://t.co/EgmxARAdEP",2302,16,0,0,0,0,0,1,144,21,1,774627,264,0.00038583726686910596,0,source-tweets,1,2167.0,2,5,3,7
Armed men were reportedly asking for journalists by name at Charlie Hebdo. Unimaginable..  http://t.co/A11KlzNPnn,2290,14,0,0,0,0,0,1,208,29,1,5491,1239,0.027337902781060425,0,source-tweets,1,18331.0,1,4,8,12
#CharlieHebdo - 11 dead including 2 police in Paris shooting. Photo: @MartinBureau1 #AFP http://t.co/xkczbYS82E,820,14,0,0,0,1,2,0,141,24,0,36068,241,0.01512532411408816,0,source-tweets,1,14048.0,0,0,4,3
#CharlieHebdo - 11 dead including 2 police in Paris shooting by @MartinBureau1 #AFP http://t.co/T8HpVdpjjN,755,14,0,0,0,1,2,0,205,37,0,1902,477,0.030179918746372606,0,source-tweets,1,1805.0,0,1,2,2
Charlie Hebdo attackers were two masked men brandishing Kalashnikovs and rocket launchers http://t.co/EX1xB40JWS http://t.co/oi7ppQYkQT,2367,14,0,0,0,0,0,1,104,24,1,818843,2355,0.003692562351780229,0,source-tweets,1,557.0,1,2,0,1
Gunmen reportedly asked for victims by NAME before shooting them #CharlieHebdo. Live updates: http://t.co/w2A2CcyPkN http://t.co/150t62a5IN,2268,15,0,0,0,0,1,1,124,30,1,285305,6388,0.007708034277263039,0,source-tweets,1,8387.0,2,1,0,3
Paris police say 11 dead after shooting at French satirical weekly Charlie Hebdo http://t.co/K4WBMHDNxO,2469,14,0,0,0,0,0,1,151,31,1,6708933,776,0.004599356666186567,0,source-tweets,1,2884.0,1,1,3,4
"French President Hollande condemns ""barbaric act"" after #CharlieHebdo gun attack kills 11 http://t.co/keuR4WvpHu http://t.co/vyuRvukz1N",2816,14,0,0,0,0,1,1,1829,476,1,12906502,3,0.0,0,source-tweets,1,59262.0,1,23,27,54
"Video showing #CharlieHebdo attack. ""Allahu akbar"" shouts http://t.co/y1ErbSGv5P",2255,8,0,0,0,0,1,1,240,47,1,6894,1167,0.05688252856995779,0,source-tweets,1,31036.0,1,2,2,11
#CharlieHebdo gunmen fled in stolen car after 'mass shoot-out' with police officers http://t.co/eocvQn42Hg http://t.co/545ooj5xMM,2367,14,0,0,0,0,1,1,144,15,1,818615,2355,0.0036928268430309833,0,source-tweets,1,10936.0,1,1,1,3
"French leader: Attack that killed 11 at Paris newspaper an act of terror, other attacks thwarted in recent weeks: http://t.co/9rrqfEaQj5",2020,20,0,0,0,0,0,1,424,60,1,4554496,7352,2.049138337329153e-05,0,source-tweets,1,6538.0,1,3,1,15
Reports #CharlieHebdo gunmen were asking for journalists by name before opening fire. Armed with AK47s and RPG,652,17,0,0,0,0,1,0,161,19,1,69562,366,0.1568397333583701,0,source-tweets,1,3887.0,1,5,0,9
Graphic: Video shows gunmen with automatic rifles during attack on #CharlieHebdo in #Paris: https://t.co/fQXxNsJOWq http://t.co/Y0uxe72R2N,1082,15,0,0,0,0,2,1,958,279,0,22456,1053,0.18016417026318016,0,source-tweets,1,2998.0,1,2,4,18
Reports that two of the dead in the #CharlieHebdo attack are police officers http://t.co/2J4WQdJnTp http://t.co/LiPDxdq1cb,2491,15,0,0,0,0,1,1,141,22,1,476910,488,0.0002310318567260219,0,source-tweets,1,6848.0,0,1,3,2
"Charlie Hebdo massacre in Paris carried out with military precision - gunmen appeared to seek out journalists by name, police suggest.",1178,21,0,0,0,0,0,0,387,44,0,2228,570,0.017934446505875078,0,source-tweets,1,22280.0,1,4,3,14
Awful. 11 shot dead in an assault on a Paris magazine. http://t.co/xxINS8etDB #CharlieHebdo http://t.co/as3YoLthcx,2323,14,0,0,0,0,1,1,140,33,1,744726,757,0.008429525452213524,0,source-tweets,1,38283.0,0,2,6,3
"New vid of Paris attack on #CharlieHebdo filmed by a witness. Gunmen on street shout ""Allahu Akbar"" http://t.co/TaZEDtGFlW @akhbar",1686,19,0,0,0,1,1,1,222,45,1,85173,565,0.005642394205108654,0,source-tweets,1,5823.0,2,2,4,4
Armed gunmen face police officers near the offices of the satirical newspaper #CharlieHebdo Photo: Anne Gelbard #AFP http://t.co/k669PHgVw5,820,18,0,0,0,0,2,0,573,79,0,36111,241,0.015338085979693238,0,source-tweets,1,24341.0,1,3,3,6
Chilling video allegedly of #CharlieHebdo attackers filmed from rooftop. A cry of 'Allahou Akbar' followed by shots http://t.co/G3rHLmAFtH …,1708,19,0,0,0,0,1,1,134,46,0,907,1971,0.08333333333333333,0,source-tweets,1,523229.0,0,3,3,11
"Charlie Hebdo journalist Wandrille Lanos tells France 2 that men with kalashnikovs entered the office, calls it a ""scene of carnage.""",1087,21,0,0,0,0,0,0,177,64,0,9229,1427,0.0068906115417743325,0,source-tweets,1,31099.0,1,4,1,6
"Fact that the Gunmen were shouting ""Allah Hu Akbar"" while shooting rules out any connection with the Religion of peace. #CharlieHebdo",1208,21,0,0,0,0,1,0,200,84,0,96458,4707,0.4489485685330631,0,source-tweets,1,8395.0,1,7,4,21
Cartoonist Stephane Charbonnier was critically injured in the attack (LeFigaro) #CharlieHebdo http://t.co/fHMfUmQffo,1501,12,0,0,0,0,1,0,172,21,0,15764,2266,0.22174022066198595,0,source-tweets,1,3574.0,1,2,1,4
12 confirmed dead  in #CharlieHebdo attack (@AFP) http://t.co/82wVYNxteC,2120,8,0,0,0,1,1,0,106,6,1,129582,337,0.0126953326590013,0,source-tweets,1,1748.0,1,0,1,1
"Nine journalists and two police officers killed in #CharlieHebdo attack, police spokesman confirms http://t.co/KtQOYWXKev",2875,14,0,0,0,0,1,1,180,15,1,1557612,1319,6.092508651362285e-05,0,source-tweets,1,1337.0,0,2,4,5
Twelve people confirmed dead in shooting at French satirical magazine Charlie Hebdo in Paris http://t.co/X6UWH7PFP1 http://t.co/TCWtE8nkpm,2444,16,0,0,0,0,0,1,125,18,1,529721,3050,0.0012300123001230013,0,source-tweets,1,12865.0,1,2,5,5
Charlie Hebdo shooting is a ferociously shocking moment with terrible implications for us all:  http://t.co/sIJO1vRp3w Twelve now dead.,1742,18,0,0,0,0,0,1,557,157,1,584117,326,0.002197112366603892,0,source-tweets,1,1186.0,0,10,6,12
Charlie Hebdo shooting latest: 12 dead and gunmen still at large http://t.co/6jRqXgPogM http://t.co/hO7lvftma5,257,13,0,0,0,0,0,1,120,22,0,53449,54,0.0,0,source-tweets,1,10428.0,2,4,1,2
Update - Police say 12 people killed after armed gunmen stormed headquarters of French weekly publication 'Charlie Hebdo' in #Paris,1890,20,0,0,0,0,1,0,161,25,1,1376932,6,0.0,0,source-tweets,1,122425.0,1,2,3,10
Police say 12 now dead in #CharlieHebdo attack including 2 police officers; prosecutor says gunmen still at large http://t.co/4AaqPAQMOb,2816,19,0,0,0,0,1,1,1614,237,1,12912447,3,0.0,0,source-tweets,1,16233.0,1,2,2,3
12 people now known to have died after gunmen stormed the Paris HQ of magazine #CharlieHebdo http://t.co/ImgE2AACPw http://t.co/h2wgFokYVW,2728,18,0,0,0,0,1,1,560,368,1,1783919,17,1.6361791943453647e-05,0,source-tweets,1,12969.0,1,0,2,1
"Terrorist Attack #footage today, 11 dead in Paris @Charlie_Hebdo_  newspaper http://t.co/5sIQslHCeh",1499,11,0,0,0,1,1,1,4082,5,0,1099,1590,0.0002492522432701894,0,source-tweets,1,0.0,0,0,0,0
BREAKING: Police official confirms that 12 have died in the attack on the #CharlieHebdo headquarters http://t.co/K7ZHV9C27F,2264,16,0,0,0,0,1,1,111,9,1,972302,1763,0.0003147090152028663,0,source-tweets,1,379.0,1,0,2,2
Charlie Hebdo shooting: twelve dead at Paris offices of satirical magazine  – live updates http://t.co/Yc1915SVdD,1888,15,0,0,0,0,0,1,193,33,1,3090574,1083,0.0012156690387798424,0,source-tweets,1,11840.0,1,0,3,6
"Cartoonists Cabu and Charb died in the attack against #CharlieHebdo, @LePoint reports http://t.co/nBdM0iZIq4  http://t.co/XMCXKb8QtK",964,14,0,0,0,1,1,1,720,155,0,441,1035,0.03236850295673825,0,source-tweets,1,47860.0,1,2,2,13
"At least 12 killed in today's attack on satirical magazine #CharlieHebdo in Paris, official says. http://t.co/zUfxcG3Rfs",2927,16,0,0,0,0,1,1,1133,268,1,22667902,113,0.0003498197083041817,0,source-tweets,1,179095.0,0,31,23,56
"Video footage of the the Paris shooting from French TV, via @nycjim, including a shout of Allahu akbar http://t.co/zRCnE2NeQ6",2262,19,0,0,0,1,0,1,110,48,1,1543571,925,0.0030972754475300543,0,source-tweets,1,19898.0,1,3,4,6
"now 13 dead at Charlie #Hebdo; gunmen show signs of military training; fled in black car, dumped it, hijacked another; set off for suburbs",2312,24,0,0,0,0,1,0,241,27,0,1177,778,0.016783216783216783,0,source-tweets,1,124931.0,0,3,3,3
"12 dead in Paris attack on #CharlieHebdo office, five others critical http://t.co/2J4WQdJnTp http://t.co/qeRByqI6JU",2491,13,0,0,0,0,1,1,104,10,1,476244,488,0.00023112480739599384,0,source-tweets,1,946.0,1,0,0,1
Paris is on the highest terrorist alert after 12 people were shot dead at the offices of a satirical weekly magazine. http://t.co/040PfC0If8,2084,22,0,0,0,0,0,1,144,24,1,1928769,644,0.002522211365856984,0,source-tweets,1,1034.0,0,1,0,2
“@LePoint: #CharlieHebdo : “The cartoonists Charb &amp; cabu are dead.” http://t.co/7USD83cQd2 http://t.co/WGHbLiLFoX”,2143,12,0,0,0,1,1,1,309,44,1,61134,2588,0.008714905234769725,0,source-tweets,1,100187.0,0,14,13,12
"UPDATE: 12 now confirmed dead in #CharlieHebdo attack in Paris, @AP is reporting. Story: http://t.co/Jfqmha1GdV (AP) http://t.co/vDCIFHIa9U",2344,17,0,0,0,1,1,1,277,55,1,1408186,781,0.0077588221547090445,0,source-tweets,1,23544.0,1,1,3,8
"Gunshots heard as well as shouts of ""Allahu Akbar!"" in amateur videos of #CharlieHebdo attack http://t.co/3Jsosc7yl3 http://t.co/NM8T2KJJGx",1975,17,1,0,0,0,1,1,189,37,1,842520,460,0.00024754596262055965,0,source-tweets,1,11456.0,0,4,5,10
"Photo of the 2 cartoonists killed in the attack on #CharlieHebdo in #Paris today. RIP.

via @LePoint. http://t.co/mms8xWU1Ze",207,18,0,0,0,1,2,0,569,101,0,13601,727,0.20302711093862616,0,source-tweets,1,9626.0,0,2,9,10
#CharlieHebdo liveblog by @Independent says news director Charb in critical cond. AQ put price put his head in '13 http://t.co/kGVAxtzyt4,2052,20,0,0,0,1,1,0,124,26,1,5762,746,0.05046948356807512,0,source-tweets,1,368.0,1,0,0,1
"French police confirm that the #CharlieHebdo attackers shouted ""The Prophet has been avenged"".

Sigh.",1258,14,0,0,0,0,1,0,135,27,0,16058,121,0.0066555740432612314,0,source-tweets,1,60601.0,1,4,5,8
Breaking: Paris police say 12 dead after shooting at Charlie Hebdo http://t.co/kugeXjzDlf,2469,12,0,0,0,0,0,1,262,52,1,6708706,776,0.004599444993902615,0,source-tweets,1,2141.0,0,2,8,9
"Gunmen at #CharlieHebdo's Paris HQ shouted they had ""avenged the prophet"", reports say http://t.co/1z7NtGWe5i http://t.co/IEWCMH7oUV",2728,15,0,0,0,0,1,1,533,365,1,1787382,17,1.6347081228646626e-05,0,source-tweets,1,32468.0,1,38,21,46
Those who killed 11 and injured scores at HQ of French satirical magazine #CharlieHebdo have done a huge disservice to Islam and Muslims,1675,23,0,0,0,0,1,0,130,124,0,78555,692,0.09046152074396108,0,source-tweets,1,130375.0,1,5,1,11
PHOTO: Armed gunmen face police officers near #CharlieHebdo HQ in Paris http://t.co/3Jsosc7yl3 http://t.co/iOpVNO6Iq0,1975,13,0,0,0,0,1,1,113,27,1,842236,460,0.0002476214059181516,0,source-tweets,1,1330.0,1,0,1,3
MORE PHOTOS: Armed gunmen fire at police near #CharlieHebdo HQ #ParisShooting http://t.co/bb3JNdmTeF,1135,12,0,0,0,0,2,0,110,47,0,134815,303,0.08176912247771,0,source-tweets,1,4873.0,2,1,0,2
#Charlie Hebdo. It was press day at the magazine so all important staff were there. Now 10 assassinated along with 2 police officers.,1449,23,0,0,0,0,1,0,415,62,0,1388,293,0.0026833631484794273,0,source-tweets,1,21032.0,2,9,4,13
Unconfirmed reports gunmen asked for people by name before killing editor and cartoonist http://t.co/26GC840I9k #CharlieHebdo,2367,15,0,0,0,0,1,1,122,17,1,818237,2355,0.0036934147370431985,0,source-tweets,1,91070.0,1,0,1,3
"#CHARLIEHEBDO SHOOTING: Gunmen shouted 'we have avenged the prophet"" during attack - reports http://t.co/3Jsosc7yl3 http://t.co/nAerF1Ep7A",1975,15,0,0,0,0,1,1,141,28,1,842416,460,0.00024757660591517643,0,source-tweets,1,1726.0,1,4,5,10
#CharlieHebdo famous cartoonists Charb and Cabu shot dead according to reports http://t.co/4wugwxfVjj http://t.co/SblgDDXGiD,2264,13,0,0,0,0,1,1,339,62,1,969090,1763,0.00031517188989995315,0,source-tweets,1,2550.0,2,2,4,14
At least 12 dead in the Paris shooting. Updated story and background info: http://t.co/QlPpQ2ss8j #CharlieHebdo http://t.co/DwMlafsD6K,2838,16,0,0,0,0,1,1,338,65,1,5571268,974,0.010212684422303123,0,source-tweets,1,5997.0,0,3,9,6
LIVE: Paris on alert as gunmen kill twelve in massacre at #CharlieHebdo magazine office: http://t.co/q0K4AorQmJ http://t.co/rb4DycPVeC,526,16,0,0,0,0,1,1,246,53,1,317466,396,0.053151796818747134,0,source-tweets,1,79879.0,2,3,4,9
"At least 12 people were killed in today's deadly attack on #CharlieHebdo, an official says. http://t.co/aNxmNzN3LE http://t.co/UIHx6WUAvg",2889,17,0,0,0,0,1,1,1752,763,1,15390255,1038,0.016479676292072833,0,source-tweets,1,3943.0,0,5,5,28
#CharlieHebdo's lawyer says the magazine's editor-in-chief was killed in the attack. More on this developing story: http://t.co/ryZaVLR6mM,2201,17,0,0,0,0,1,1,137,22,1,703582,360,0.00045825138907452316,0,source-tweets,1,2945.0,2,3,2,2
"#CharlieHebdo Attack UPDATE: Cartoonists Cabu, Charb, Wolinski die - report http://t.co/3Jsosc7yl3 http://t.co/3H1ZbykE0D",1975,12,0,0,0,0,1,1,177,26,1,842277,460,0.0002476190476190476,0,source-tweets,1,6590.0,1,3,0,3
UPDATE: #CharlieHebdo's editor-in-chief was killed in attack - Magazine's lawyer http://t.co/kLKwMSlo7g,2086,11,0,0,0,0,1,0,220,42,1,61410,73,7.662835249042145e-05,0,source-tweets,1,2423.0,0,1,5,4
"This was a well-planned attack: the gunmen hit #CharlieHebdo in the middle of the weekly conference, with all staff present.",2064,20,0,0,0,0,1,0,178,24,0,1424,902,0.05158049497672139,0,source-tweets,1,7224.0,1,1,1,5
"Reports gunmen shouted ""Allahu Akbar"" &amp; ""the prophet was avenged"". If we don't share these, they win. #JeSuisCharlie http://t.co/0ykqcFmUJ7",2027,19,0,0,0,0,1,0,155,49,0,11434,325,0.09810155327459351,0,source-tweets,1,3730.0,2,1,0,3
"11 just killed in Paris by ""Alu Akhbar"" shouting armed men in attack on  satirical mag Charlie Hebdo. Background: http://t.co/MUf8ACNbVS",2286,20,0,0,0,0,0,1,237,91,1,2460875,5296,5.786032517502748e-05,0,source-tweets,1,17126.0,0,0,2,2
"Terrifying account. Attackers spoke perfect French, eyewitness says RT  http://t.co/n1uLNlY9bf via @humanite_fr http://t.co/snAKGl1XkX",1093,13,0,0,0,1,0,1,133,24,1,13599,599,0.043782837127845885,0,source-tweets,1,6005.0,1,2,0,4
"Looks like every Charlie Hebdo cartoonist has been killed: 1. Charb - was on Al-Qaeda's hit list; 2. Cabu, 3. Wolinski, 4. Tignous",1617,23,0,0,0,0,0,0,175,25,0,3030,1392,0.0594059405940594,0,source-tweets,1,3803.0,0,1,1,2
"“I don’t feel as though I’m killing someone with a pen."" -Stephane Charbonnier 1967-2015 #CharlieHebdo http://t.co/RmJlpSsaNt",2090,16,0,0,0,0,1,0,1358,511,0,3894,784,0.01440329218106996,0,source-tweets,1,12585.0,1,3,5,14
#CharlieHebdo Stéphane Charbonnier and Jean Cabut died for freedom of press. May their bravery &amp; spirit live forever http://t.co/JBjJicdNbq,940,19,0,0,0,0,1,0,113,61,0,761,489,0.0629329576141834,0,source-tweets,1,511.0,2,1,0,2
